net1 v(D0), v(D1), v(D2), v(D3), v(D4), v(D5), v(D6), i(viout), v(v_out_final) 
 8.69918487e-04, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.44900406e-06, 6.84863094e-01 
 3.38926923e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -3.94558628e-06, 6.84636030e-01 
 2.71054537e-03, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 5.96931080e-06, 6.84764251e-01 
 2.71015061e-03, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 5.96894802e-06, 6.84764251e-01 
 2.08181293e-03, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 6.96444475e-06, 6.84812757e-01 
 2.70888343e-03, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 5.96883737e-06, 6.84764141e-01 
 2.08065704e-03, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 6.96445635e-06, 6.84812876e-01 
 2.08033462e-03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 6.96452884e-06, 6.84812874e-01 
 1.47354558e-03, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -7.71575979e-06, 6.84838587e-01 
 2.70858298e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 5.96884775e-06, 6.84764145e-01 
 2.08066422e-03, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 6.96445631e-06, 6.84812877e-01 
 2.08094661e-03, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 6.96453066e-06, 6.84812705e-01 
 1.47428927e-03, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -7.71575911e-06, 6.84838501e-01 
 2.08220964e-03, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 6.96454534e-06, 6.84812753e-01 
 1.47533392e-03, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -7.71575762e-06, 6.84838578e-01 
 1.47495045e-03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -7.71575314e-06, 6.84838570e-01 
 8.70356842e-04, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 8.44907493e-06, 6.84862967e-01 
 2.70983138e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 5.96897264e-06, 6.84765132e-01 
 2.08168452e-03, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 6.96444518e-06, 6.84812708e-01 
 2.08204440e-03, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 6.96451882e-06, 6.84812877e-01 
